I10_PR,CCS,CCS_lvl1,CCS_lvl2
009G3ZZ,PR1,PR-1,PR-1.1
009G40Z,PR1,PR-1,PR-1.1
009G4ZZ,PR1,PR-1,PR-1.1
009H00Z,PR1,PR-1,PR-1.1
009H0ZZ,PR1,PR-1,PR-1.1
009H30Z,PR1,PR-1,PR-1.1
009H3ZZ,PR1,PR-1,PR-1.1
009H40Z,PR1,PR-1,PR-1.1
009H4ZZ,PR1,PR-1,PR-1.1
009J00Z,PR1,PR-1,PR-1.1
009J0ZZ,PR1,PR-1,PR-1.1
009J30Z,PR1,PR-1,PR-1.1
009J3ZZ,PR1,PR-1,PR-1.1
009J40Z,PR1,PR-1,PR-1.1
009J4ZZ,PR1,PR-1,PR-1.1
009K00Z,PR1,PR-1,PR-1.1
009K0ZZ,PR1,PR-1,PR-1.1
009K30Z,PR1,PR-1,PR-1.1
009K3ZZ,PR1,PR-1,PR-1.1
009K40Z,PR1,PR-1,PR-1.1
009K4ZZ,PR1,PR-1,PR-1.1
009L00Z,PR1,PR-1,PR-1.1
009L0ZZ,PR1,PR-1,PR-1.1
009L30Z,PR1,PR-1,PR-1.1
009L3ZZ,PR1,PR-1,PR-1.1
009L40Z,PR1,PR-1,PR-1.1
009L4ZZ,PR1,PR-1,PR-1.1
009M00Z,PR1,PR-1,PR-1.1
009M0ZZ,PR1,PR-1,PR-1.1
009M30Z,PR1,PR-1,PR-1.1
009M3ZZ,PR1,PR-1,PR-1.1
009M40Z,PR1,PR-1,PR-1.1
009M4ZZ,PR1,PR-1,PR-1.1
009N00Z,PR1,PR-1,PR-1.1
009N0ZZ,PR1,PR-1,PR-1.1
009N30Z,PR1,PR-1,PR-1.1
009N3ZZ,PR1,PR-1,PR-1.1
009N40Z,PR1,PR-1,PR-1.1
009N4ZZ,PR1,PR-1,PR-1.1
009P00Z,PR1,PR-1,PR-1.1
009P0ZZ,PR1,PR-1,PR-1.1
009P30Z,PR1,PR-1,PR-1.1
009P3ZZ,PR1,PR-1,PR-1.1
009P40Z,PR1,PR-1,PR-1.1
009P4ZZ,PR1,PR-1,PR-1.1
009Q00Z,PR1,PR-1,PR-1.1
009Q0ZZ,PR1,PR-1,PR-1.1
009Q30Z,PR1,PR-1,PR-1.1
009Q3ZZ,PR1,PR-1,PR-1.1
009Q40Z,PR1,PR-1,PR-1.1
009Q4ZZ,PR1,PR-1,PR-1.1
009R00Z,PR1,PR-1,PR-1.1
009R0ZZ,PR1,PR-1,PR-1.1
009R30Z,PR1,PR-1,PR-1.1
009R3ZZ,PR1,PR-1,PR-1.1
009R40Z,PR1,PR-1,PR-1.1
009R4ZZ,PR1,PR-1,PR-1.1
009S00Z,PR1,PR-1,PR-1.1
009S0ZZ,PR1,PR-1,PR-1.1
009S30Z,PR1,PR-1,PR-1.1
009S3ZZ,PR1,PR-1,PR-1.1
009S40Z,PR1,PR-1,PR-1.1
009S4ZZ,PR1,PR-1,PR-1.1
00B00ZZ,PR1,PR-1,PR-1.1
00B03ZZ,PR1,PR-1,PR-1.1
00B04ZZ,PR1,PR-1,PR-1.1
00B10ZZ,PR1,PR-1,PR-1.1
00B13ZZ,PR1,PR-1,PR-1.1
00B14ZZ,PR1,PR-1,PR-1.1
00B20ZZ,PR1,PR-1,PR-1.1
00B23ZZ,PR1,PR-1,PR-1.1
00B24ZZ,PR1,PR-1,PR-1.1
00B60ZZ,PR1,PR-1,PR-1.1
00B63ZZ,PR1,PR-1,PR-1.1
00B64ZZ,PR1,PR-1,PR-1.1
00B70ZZ,PR1,PR-1,PR-1.1
00B73ZZ,PR1,PR-1,PR-1.1
00B74ZZ,PR1,PR-1,PR-1.1
00B80ZZ,PR1,PR-1,PR-1.1
00B83ZZ,PR1,PR-1,PR-1.1
00B84ZZ,PR1,PR-1,PR-1.1
00B90ZZ,PR1,PR-1,PR-1.1
00B93ZZ,PR1,PR-1,PR-1.1
00B94ZZ,PR1,PR-1,PR-1.1
00BA0ZZ,PR1,PR-1,PR-1.1
00BA3ZZ,PR1,PR-1,PR-1.1
00BA4ZZ,PR1,PR-1,PR-1.1
00BB0ZZ,PR1,PR-1,PR-1.1
00BB3ZZ,PR1,PR-1,PR-1.1
00BB4ZZ,PR1,PR-1,PR-1.1
00BC0ZZ,PR1,PR-1,PR-1.1
00BC3ZZ,PR1,PR-1,PR-1.1
00BC4ZZ,PR1,PR-1,PR-1.1
00BD0ZZ,PR1,PR-1,PR-1.1
00BD3ZZ,PR1,PR-1,PR-1.1
00BD4ZZ,PR1,PR-1,PR-1.1
00BF0ZZ,PR1,PR-1,PR-1.1
00BF3ZZ,PR1,PR-1,PR-1.1
00BF4ZZ,PR1,PR-1,PR-1.1
00BG0ZZ,PR1,PR-1,PR-1.1
00BG3ZZ,PR1,PR-1,PR-1.1
00BG4ZZ,PR1,PR-1,PR-1.1
00BH0ZZ,PR1,PR-1,PR-1.1
00BH3ZZ,PR1,PR-1,PR-1.1
00BH4ZZ,PR1,PR-1,PR-1.1
00BJ0ZZ,PR1,PR-1,PR-1.1
00BJ3ZZ,PR1,PR-1,PR-1.1
00BJ4ZZ,PR1,PR-1,PR-1.1
00BK0ZZ,PR1,PR-1,PR-1.1
00BK3ZZ,PR1,PR-1,PR-1.1
00BK4ZZ,PR1,PR-1,PR-1.1
00BL0ZZ,PR1,PR-1,PR-1.1
00BL3ZZ,PR1,PR-1,PR-1.1
00BL4ZZ,PR1,PR-1,PR-1.1
00BM0ZZ,PR1,PR-1,PR-1.1
00BM3ZZ,PR1,PR-1,PR-1.1
00BM4ZZ,PR1,PR-1,PR-1.1
00BN0ZZ,PR1,PR-1,PR-1.1
00BN3ZZ,PR1,PR-1,PR-1.1
00BN4ZZ,PR1,PR-1,PR-1.1
00BP0ZZ,PR1,PR-1,PR-1.1
00BP3ZZ,PR1,PR-1,PR-1.1
00BP4ZZ,PR1,PR-1,PR-1.1
00BQ0ZZ,PR1,PR-1,PR-1.1
00BQ3ZZ,PR1,PR-1,PR-1.1
00BQ4ZZ,PR1,PR-1,PR-1.1
00BR0ZZ,PR1,PR-1,PR-1.1
00BR3ZZ,PR1,PR-1,PR-1.1
00BR4ZZ,PR1,PR-1,PR-1.1
00BS0ZZ,PR1,PR-1,PR-1.1
00BS3ZZ,PR1,PR-1,PR-1.1
00BS4ZZ,PR1,PR-1,PR-1.1
00BT0ZZ,PR1,PR-1,PR-1.1
00BT3ZZ,PR1,PR-1,PR-1.1
00BT4ZZ,PR1,PR-1,PR-1.1
00D10ZZ,PR1,PR-1,PR-1.1
00D13ZZ,PR1,PR-1,PR-1.1
00D14ZZ,PR1,PR-1,PR-1.1
00D20ZZ,PR1,PR-1,PR-1.1
00D23ZZ,PR1,PR-1,PR-1.1
00D24ZZ,PR1,PR-1,PR-1.1
00DF0ZZ,PR1,PR-1,PR-1.1
00DF3ZZ,PR1,PR-1,PR-1.1
00DF4ZZ,PR1,PR-1,PR-1.1
00DG0ZZ,PR1,PR-1,PR-1.1
00DG3ZZ,PR1,PR-1,PR-1.1
00DG4ZZ,PR1,PR-1,PR-1.1
00DH0ZZ,PR1,PR-1,PR-1.1
00DH3ZZ,PR1,PR-1,PR-1.1
00DH4ZZ,PR1,PR-1,PR-1.1
00DJ0ZZ,PR1,PR-1,PR-1.1
00DJ3ZZ,PR1,PR-1,PR-1.1
00DJ4ZZ,PR1,PR-1,PR-1.1
00DK0ZZ,PR1,PR-1,PR-1.1
00DK3ZZ,PR1,PR-1,PR-1.1
00DK4ZZ,PR1,PR-1,PR-1.1
00DL0ZZ,PR1,PR-1,PR-1.1
00DL3ZZ,PR1,PR-1,PR-1.1
00DL4ZZ,PR1,PR-1,PR-1.1
00DM0ZZ,PR1,PR-1,PR-1.1
00DM3ZZ,PR1,PR-1,PR-1.1
00DM4ZZ,PR1,PR-1,PR-1.1
00DN0ZZ,PR1,PR-1,PR-1.1
00DN3ZZ,PR1,PR-1,PR-1.1
00DN4ZZ,PR1,PR-1,PR-1.1
00DP0ZZ,PR1,PR-1,PR-1.1
00DP3ZZ,PR1,PR-1,PR-1.1
00DP4ZZ,PR1,PR-1,PR-1.1
00DQ0ZZ,PR1,PR-1,PR-1.1
00DQ3ZZ,PR1,PR-1,PR-1.1
00DQ4ZZ,PR1,PR-1,PR-1.1
00DR0ZZ,PR1,PR-1,PR-1.1
00DR3ZZ,PR1,PR-1,PR-1.1
00DR4ZZ,PR1,PR-1,PR-1.1
00DS0ZZ,PR1,PR-1,PR-1.1
00DS3ZZ,PR1,PR-1,PR-1.1
00DS4ZZ,PR1,PR-1,PR-1.1
00DT0ZZ,PR1,PR-1,PR-1.1
00DT3ZZ,PR1,PR-1,PR-1.1
00DT4ZZ,PR1,PR-1,PR-1.1
00T70ZZ,PR1,PR-1,PR-1.1
00T73ZZ,PR1,PR-1,PR-1.1
00T74ZZ,PR1,PR-1,PR-1.1
0W9100Z,PR1,PR-1,PR-1.1
0W910ZZ,PR1,PR-1,PR-1.1
0W9130Z,PR1,PR-1,PR-1.1
0W913ZZ,PR1,PR-1,PR-1.1
0W9140Z,PR1,PR-1,PR-1.1
0W914ZZ,PR1,PR-1,PR-1.1
0WC10ZZ,PR1,PR-1,PR-1.1
0WC13ZZ,PR1,PR-1,PR-1.1
0WC14ZZ,PR1,PR-1,PR-1.1
0WH103Z,PR1,PR-1,PR-1.1
0WH10YZ,PR1,PR-1,PR-1.1
0WH133Z,PR1,PR-1,PR-1.1
0WH13YZ,PR1,PR-1,PR-1.1
0WH143Z,PR1,PR-1,PR-1.1
0WH14YZ,PR1,PR-1,PR-1.1
3E0Q028,PR1,PR-1,PR-1.1
3E0Q029,PR1,PR-1,PR-1.1
3E0Q03Z,PR1,PR-1,PR-1.1
3E0Q06Z,PR1,PR-1,PR-1.1
3E0Q07Z,PR1,PR-1,PR-1.1
3E0Q0AZ,PR1,PR-1,PR-1.1
3E0Q0BZ,PR1,PR-1,PR-1.1
3E0Q0E0,PR1,PR-1,PR-1.1
3E0Q0E1,PR1,PR-1,PR-1.1
3E0Q0GC,PR1,PR-1,PR-1.1
3E0Q0NZ,PR1,PR-1,PR-1.1
3E0Q0SF,PR1,PR-1,PR-1.1
3E0Q0TZ,PR1,PR-1,PR-1.1
0G5G0ZZ,PR10,PR-2,PR-2.1
0G5G3ZZ,PR10,PR-2,PR-2.1
0G5G4ZZ,PR10,PR-2,PR-2.1
0G5H0ZZ,PR10,PR-2,PR-2.1
0G5H3ZZ,PR10,PR-2,PR-2.1
0G5H4ZZ,PR10,PR-2,PR-2.1
0G5K0ZZ,PR10,PR-2,PR-2.1
0G5K3ZZ,PR10,PR-2,PR-2.1
0G5K4ZZ,PR10,PR-2,PR-2.1
0GBG0ZZ,PR10,PR-2,PR-2.1
0GBG3ZZ,PR10,PR-2,PR-2.1
0GBG4ZZ,PR10,PR-2,PR-2.1
0GBH0ZZ,PR10,PR-2,PR-2.1
0GBH3ZZ,PR10,PR-2,PR-2.1
0GBH4ZZ,PR10,PR-2,PR-2.1
0GBJ0ZZ,PR10,PR-2,PR-2.1
0GBJ3ZZ,PR10,PR-2,PR-2.1
0GBJ4ZZ,PR10,PR-2,PR-2.1
0GTG0ZZ,PR10,PR-2,PR-2.1
0GTG4ZZ,PR10,PR-2,PR-2.1
0GTH0ZZ,PR10,PR-2,PR-2.1
0GTH4ZZ,PR10,PR-2,PR-2.1
0GTK0ZZ,PR10,PR-2,PR-2.1
0GTK4ZZ,PR10,PR-2,PR-2.1
0T908ZX,PR100,PR-10,PR-10.1
0T914ZX,PR100,PR-10,PR-10.1
0T918ZX,PR100,PR-10,PR-10.1
0T964ZX,PR100,PR-10,PR-10.1
0T968ZX,PR100,PR-10,PR-10.1
0T974ZX,PR100,PR-10,PR-10.1
0T978ZX,PR100,PR-10,PR-10.1
0T984ZX,PR100,PR-10,PR-10.1
0T988ZX,PR100,PR-10,PR-10.1
0T9B4ZX,PR100,PR-10,PR-10.1
0T9B8ZX,PR100,PR-10,PR-10.1
0T9C4ZX,PR100,PR-10,PR-10.1
0T9C8ZX,PR100,PR-10,PR-10.1
0T9D4ZX,PR100,PR-10,PR-10.1
0T9D8ZX,PR100,PR-10,PR-10.1
0TB04ZX,PR100,PR-10,PR-10.1
0TB08ZX,PR100,PR-10,PR-10.1
0TB14ZX,PR100,PR-10,PR-10.1
0TB18ZX,PR100,PR-10,PR-10.1
0TB34ZX,PR100,PR-10,PR-10.1
0TB38ZX,PR100,PR-10,PR-10.1
0TB44ZX,PR100,PR-10,PR-10.1
0TB48ZX,PR100,PR-10,PR-10.1
0TB64ZX,PR100,PR-10,PR-10.1
0TB68ZX,PR100,PR-10,PR-10.1
0TB74ZX,PR100,PR-10,PR-10.1
0TB78ZX,PR100,PR-10,PR-10.1
0TBB4ZX,PR100,PR-10,PR-10.1
0TBB4ZZ,PR100,PR-10,PR-10.1
0TBB8ZX,PR100,PR-10,PR-10.1
0TBC4ZX,PR100,PR-10,PR-10.1
0TBC4ZZ,PR100,PR-10,PR-10.1
0TBC8ZX,PR100,PR-10,PR-10.1
0TBD4ZX,PR100,PR-10,PR-10.1
0TBD7ZX,PR100,PR-10,PR-10.1
0TBD8ZX,PR100,PR-10,PR-10.1
0TJ54ZZ,PR100,PR-10,PR-10.1
0TJ57ZZ,PR100,PR-10,PR-10.1
0TJ58ZZ,PR100,PR-10,PR-10.1
0TJ94ZZ,PR100,PR-10,PR-10.1
