I10_DX,CCS,CCS_lvl1,CCS_lvl2
M71822,DX211,DX-13,DX-13.8
M71829,DX211,DX-13,DX-13.8
M71831,DX211,DX-13,DX-13.8
M71832,DX211,DX-13,DX-13.8
M71839,DX211,DX-13,DX-13.8
M71841,DX211,DX-13,DX-13.8
M71842,DX211,DX-13,DX-13.8
M71849,DX211,DX-13,DX-13.8
M71851,DX211,DX-13,DX-13.8
M71852,DX211,DX-13,DX-13.8
M71859,DX211,DX-13,DX-13.8
M71861,DX211,DX-13,DX-13.8
M71862,DX211,DX-13,DX-13.8
M71869,DX211,DX-13,DX-13.8
M71871,DX211,DX-13,DX-13.8
M71872,DX211,DX-13,DX-13.8
M71879,DX211,DX-13,DX-13.8
M7188,DX211,DX-13,DX-13.8
M7189,DX211,DX-13,DX-13.8
M719,DX211,DX-13,DX-13.8
M720,DX211,DX-13,DX-13.8
M721,DX211,DX-13,DX-13.8
M722,DX211,DX-13,DX-13.8
M724,DX211,DX-13,DX-13.8
M726,DX211,DX-13,DX-13.8
M728,DX211,DX-13,DX-13.8
M729,DX211,DX-13,DX-13.8
M7500,DX211,DX-13,DX-13.8
M7501,DX211,DX-13,DX-13.8
M7502,DX211,DX-13,DX-13.8
M75100,DX211,DX-13,DX-13.8
M75101,DX211,DX-13,DX-13.8
M75102,DX211,DX-13,DX-13.8
M75110,DX211,DX-13,DX-13.8
M75111,DX211,DX-13,DX-13.8
M75112,DX211,DX-13,DX-13.8
M75120,DX211,DX-13,DX-13.8
M75121,DX211,DX-13,DX-13.8
M75122,DX211,DX-13,DX-13.8
M7520,DX211,DX-13,DX-13.8
M7521,DX211,DX-13,DX-13.8
M7522,DX211,DX-13,DX-13.8
M7530,DX211,DX-13,DX-13.8
M7531,DX211,DX-13,DX-13.8
M7532,DX211,DX-13,DX-13.8
M7540,DX211,DX-13,DX-13.8
M7541,DX211,DX-13,DX-13.8
M7542,DX211,DX-13,DX-13.8
M7550,DX211,DX-13,DX-13.8
M7551,DX211,DX-13,DX-13.8
M7552,DX211,DX-13,DX-13.8
M7580,DX211,DX-13,DX-13.8
M7581,DX211,DX-13,DX-13.8
M7582,DX211,DX-13,DX-13.8
M7590,DX211,DX-13,DX-13.8
M7591,DX211,DX-13,DX-13.8
M7592,DX211,DX-13,DX-13.8
M7600,DX211,DX-13,DX-13.8
M7601,DX211,DX-13,DX-13.8
M7602,DX211,DX-13,DX-13.8
M7610,DX211,DX-13,DX-13.8
M7611,DX211,DX-13,DX-13.8
M7612,DX211,DX-13,DX-13.8
M7620,DX211,DX-13,DX-13.8
M7621,DX211,DX-13,DX-13.8
M7622,DX211,DX-13,DX-13.8
M7630,DX211,DX-13,DX-13.8
M7631,DX211,DX-13,DX-13.8
M7632,DX211,DX-13,DX-13.8
M7640,DX211,DX-13,DX-13.8
M7641,DX211,DX-13,DX-13.8
M7642,DX211,DX-13,DX-13.8
M7650,DX211,DX-13,DX-13.8
M7651,DX211,DX-13,DX-13.8
M7652,DX211,DX-13,DX-13.8
M7660,DX211,DX-13,DX-13.8
M7661,DX211,DX-13,DX-13.8
M7662,DX211,DX-13,DX-13.8
M7670,DX211,DX-13,DX-13.8
M7671,DX211,DX-13,DX-13.8
M7672,DX211,DX-13,DX-13.8
M76811,DX211,DX-13,DX-13.8
M76812,DX211,DX-13,DX-13.8
M76819,DX211,DX-13,DX-13.8
M76821,DX211,DX-13,DX-13.8
M76822,DX211,DX-13,DX-13.8
M76829,DX211,DX-13,DX-13.8
M76891,DX211,DX-13,DX-13.8
M76892,DX211,DX-13,DX-13.8
M76899,DX211,DX-13,DX-13.8
M769,DX211,DX-13,DX-13.8
M7700,DX211,DX-13,DX-13.8
M7701,DX211,DX-13,DX-13.8
M7702,DX211,DX-13,DX-13.8
M7710,DX211,DX-13,DX-13.8
M7711,DX211,DX-13,DX-13.8
M7712,DX211,DX-13,DX-13.8
M7720,DX211,DX-13,DX-13.8
M7721,DX211,DX-13,DX-13.8
M7722,DX211,DX-13,DX-13.8
M7730,DX211,DX-13,DX-13.8
M7731,DX211,DX-13,DX-13.8
M7732,DX211,DX-13,DX-13.8
M7740,DX211,DX-13,DX-13.8
M7741,DX211,DX-13,DX-13.8
M7742,DX211,DX-13,DX-13.8
M7750,DX211,DX-13,DX-13.8
M7751,DX211,DX-13,DX-13.8
M7752,DX211,DX-13,DX-13.8
M778,DX211,DX-13,DX-13.8
M779,DX211,DX-13,DX-13.8
M790,DX211,DX-13,DX-13.8
M791,DX211,DX-13,DX-13.8
M7910,DX211,DX-13,DX-13.8
M7911,DX211,DX-13,DX-13.8
M7912,DX211,DX-13,DX-13.8
M7918,DX211,DX-13,DX-13.8
M792,DX211,DX-13,DX-13.8
M793,DX211,DX-13,DX-13.8
M794,DX211,DX-13,DX-13.8
M795,DX211,DX-13,DX-13.8
M79601,DX211,DX-13,DX-13.8
M79602,DX211,DX-13,DX-13.8
M79603,DX211,DX-13,DX-13.8
M79604,DX211,DX-13,DX-13.8
M79605,DX211,DX-13,DX-13.8
M79606,DX211,DX-13,DX-13.8
M79609,DX211,DX-13,DX-13.8
M79621,DX211,DX-13,DX-13.8
M79622,DX211,DX-13,DX-13.8
M79629,DX211,DX-13,DX-13.8
M79631,DX211,DX-13,DX-13.8
M79632,DX211,DX-13,DX-13.8
M79639,DX211,DX-13,DX-13.8
M79641,DX211,DX-13,DX-13.8
M79642,DX211,DX-13,DX-13.8
M79643,DX211,DX-13,DX-13.8
M79644,DX211,DX-13,DX-13.8
M79645,DX211,DX-13,DX-13.8
M79646,DX211,DX-13,DX-13.8
M79651,DX211,DX-13,DX-13.8
M79652,DX211,DX-13,DX-13.8
M79659,DX211,DX-13,DX-13.8
M79661,DX211,DX-13,DX-13.8
M79662,DX211,DX-13,DX-13.8
M79669,DX211,DX-13,DX-13.8
M79671,DX211,DX-13,DX-13.8
M79672,DX211,DX-13,DX-13.8
M79673,DX211,DX-13,DX-13.8
M79674,DX211,DX-13,DX-13.8
M79675,DX211,DX-13,DX-13.8
M79676,DX211,DX-13,DX-13.8
M797,DX211,DX-13,DX-13.8
M7981,DX211,DX-13,DX-13.8
M7989,DX211,DX-13,DX-13.8
M799,DX211,DX-13,DX-13.8
M79A11,DX211,DX-13,DX-13.8
M79A12,DX211,DX-13,DX-13.8
M79A19,DX211,DX-13,DX-13.8
M79A21,DX211,DX-13,DX-13.8
M79A22,DX211,DX-13,DX-13.8
M79A29,DX211,DX-13,DX-13.8
M79A3,DX211,DX-13,DX-13.8
M79A9,DX211,DX-13,DX-13.8
R252,DX211,DX-13,DX-13.8
R293,DX211,DX-13,DX-13.8
R296,DX211,DX-13,DX-13.8
R29810,DX211,DX-13,DX-13.8
R29818,DX211,DX-13,DX-13.8
R29890,DX211,DX-13,DX-13.8
R29898,DX211,DX-13,DX-13.8
R2990,DX211,DX-13,DX-13.8
R2991,DX211,DX-13,DX-13.8
Z8739,DX211,DX-13,DX-13.8
Z9660,DX211,DX-13,DX-13.8
Z96611,DX211,DX-13,DX-13.8
Z96612,DX211,DX-13,DX-13.8
Z96619,DX211,DX-13,DX-13.8
Z96621,DX211,DX-13,DX-13.8
Z96622,DX211,DX-13,DX-13.8
Z96629,DX211,DX-13,DX-13.8
Z96631,DX211,DX-13,DX-13.8
Z96632,DX211,DX-13,DX-13.8
Z96639,DX211,DX-13,DX-13.8
Z96641,DX211,DX-13,DX-13.8
Z96642,DX211,DX-13,DX-13.8
Z96643,DX211,DX-13,DX-13.8
Z96649,DX211,DX-13,DX-13.8
Z96651,DX211,DX-13,DX-13.8
Z96652,DX211,DX-13,DX-13.8
Z96653,DX211,DX-13,DX-13.8
Z96659,DX211,DX-13,DX-13.8
Z96661,DX211,DX-13,DX-13.8
Z96662,DX211,DX-13,DX-13.8
Z96669,DX211,DX-13,DX-13.8
Z96691,DX211,DX-13,DX-13.8
Z96692,DX211,DX-13,DX-13.8
Z96693,DX211,DX-13,DX-13.8
Z96698,DX211,DX-13,DX-13.8
Z967,DX211,DX-13,DX-13.8
Z9710,DX211,DX-13,DX-13.8
Z9711,DX211,DX-13,DX-13.8
Z9712,DX211,DX-13,DX-13.8
Z9713,DX211,DX-13,DX-13.8
Z9714,DX211,DX-13,DX-13.8
Z9715,DX211,DX-13,DX-13.8
Z9716,DX211,DX-13,DX-13.8
Z981,DX211,DX-13,DX-13.8
M4100,DX212,DX-13,DX-13.9
M4102,DX212,DX-13,DX-13.9
M4103,DX212,DX-13,DX-13.9
M4104,DX212,DX-13,DX-13.9
M4105,DX212,DX-13,DX-13.9
M4106,DX212,DX-13,DX-13.9
M4107,DX212,DX-13,DX-13.9
M4108,DX212,DX-13,DX-13.9
M41112,DX212,DX-13,DX-13.9
M41113,DX212,DX-13,DX-13.9
M41114,DX212,DX-13,DX-13.9
M41115,DX212,DX-13,DX-13.9
M41116,DX212,DX-13,DX-13.9
M41117,DX212,DX-13,DX-13.9
M41119,DX212,DX-13,DX-13.9
M41122,DX212,DX-13,DX-13.9
M41123,DX212,DX-13,DX-13.9
M41124,DX212,DX-13,DX-13.9
M41125,DX212,DX-13,DX-13.9
M41126,DX212,DX-13,DX-13.9
M41127,DX212,DX-13,DX-13.9
M41129,DX212,DX-13,DX-13.9
M4120,DX212,DX-13,DX-13.9
M4122,DX212,DX-13,DX-13.9
M4123,DX212,DX-13,DX-13.9
M4124,DX212,DX-13,DX-13.9
M4125,DX212,DX-13,DX-13.9
M4126,DX212,DX-13,DX-13.9
M4127,DX212,DX-13,DX-13.9
M4200,DX212,DX-13,DX-13.9
M4201,DX212,DX-13,DX-13.9
M4202,DX212,DX-13,DX-13.9
M4203,DX212,DX-13,DX-13.9
M4204,DX212,DX-13,DX-13.9
M4205,DX212,DX-13,DX-13.9
M4206,DX212,DX-13,DX-13.9
M4207,DX212,DX-13,DX-13.9
M4208,DX212,DX-13,DX-13.9
M4209,DX212,DX-13,DX-13.9
M4210,DX212,DX-13,DX-13.9
M4211,DX212,DX-13,DX-13.9
M4212,DX212,DX-13,DX-13.9
M4213,DX212,DX-13,DX-13.9
M4214,DX212,DX-13,DX-13.9
M4215,DX212,DX-13,DX-13.9
M4216,DX212,DX-13,DX-13.9
M4217,DX212,DX-13,DX-13.9
M4218,DX212,DX-13,DX-13.9
M4219,DX212,DX-13,DX-13.9
M429,DX212,DX-13,DX-13.9
M8480,DX212,DX-13,DX-13.9
M84811,DX212,DX-13,DX-13.9
M84812,DX212,DX-13,DX-13.9
M84819,DX212,DX-13,DX-13.9
M84821,DX212,DX-13,DX-13.9
M84822,DX212,DX-13,DX-13.9
M84829,DX212,DX-13,DX-13.9
M84831,DX212,DX-13,DX-13.9
M84832,DX212,DX-13,DX-13.9
M84833,DX212,DX-13,DX-13.9
M84834,DX212,DX-13,DX-13.9
M84839,DX212,DX-13,DX-13.9
M84841,DX212,DX-13,DX-13.9
M84842,DX212,DX-13,DX-13.9
M84849,DX212,DX-13,DX-13.9
M84851,DX212,DX-13,DX-13.9
M84852,DX212,DX-13,DX-13.9
M84859,DX212,DX-13,DX-13.9
M84861,DX212,DX-13,DX-13.9
M84862,DX212,DX-13,DX-13.9
M84863,DX212,DX-13,DX-13.9
M84864,DX212,DX-13,DX-13.9
M84869,DX212,DX-13,DX-13.9
M84871,DX212,DX-13,DX-13.9
M84872,DX212,DX-13,DX-13.9
M84879,DX212,DX-13,DX-13.9
M8488,DX212,DX-13,DX-13.9
M849,DX212,DX-13,DX-13.9
M8500,DX212,DX-13,DX-13.9
M85011,DX212,DX-13,DX-13.9
M85012,DX212,DX-13,DX-13.9
M85019,DX212,DX-13,DX-13.9
M85021,DX212,DX-13,DX-13.9
M85022,DX212,DX-13,DX-13.9
M85029,DX212,DX-13,DX-13.9
M85031,DX212,DX-13,DX-13.9
M85032,DX212,DX-13,DX-13.9
M85039,DX212,DX-13,DX-13.9
M85041,DX212,DX-13,DX-13.9
M85042,DX212,DX-13,DX-13.9
M85049,DX212,DX-13,DX-13.9
M85051,DX212,DX-13,DX-13.9
M85052,DX212,DX-13,DX-13.9
M85059,DX212,DX-13,DX-13.9
M85061,DX212,DX-13,DX-13.9
M85062,DX212,DX-13,DX-13.9
M85069,DX212,DX-13,DX-13.9
M85071,DX212,DX-13,DX-13.9
M85072,DX212,DX-13,DX-13.9
M85079,DX212,DX-13,DX-13.9
M8508,DX212,DX-13,DX-13.9
M8509,DX212,DX-13,DX-13.9
M8510,DX212,DX-13,DX-13.9
M85111,DX212,DX-13,DX-13.9
M85112,DX212,DX-13,DX-13.9
M85119,DX212,DX-13,DX-13.9
M85121,DX212,DX-13,DX-13.9
M85122,DX212,DX-13,DX-13.9
M85129,DX212,DX-13,DX-13.9
M85131,DX212,DX-13,DX-13.9
M85132,DX212,DX-13,DX-13.9
M85139,DX212,DX-13,DX-13.9
M85141,DX212,DX-13,DX-13.9
M85142,DX212,DX-13,DX-13.9
M85149,DX212,DX-13,DX-13.9
M85151,DX212,DX-13,DX-13.9
M85152,DX212,DX-13,DX-13.9
M85159,DX212,DX-13,DX-13.9
M85161,DX212,DX-13,DX-13.9
M85162,DX212,DX-13,DX-13.9
M85169,DX212,DX-13,DX-13.9
M85171,DX212,DX-13,DX-13.9
M85172,DX212,DX-13,DX-13.9
M85179,DX212,DX-13,DX-13.9
M8518,DX212,DX-13,DX-13.9
M8519,DX212,DX-13,DX-13.9
M852,DX212,DX-13,DX-13.9
M8530,DX212,DX-13,DX-13.9
M85311,DX212,DX-13,DX-13.9
M85312,DX212,DX-13,DX-13.9
M85319,DX212,DX-13,DX-13.9
M85321,DX212,DX-13,DX-13.9
M85322,DX212,DX-13,DX-13.9
M85329,DX212,DX-13,DX-13.9
M85331,DX212,DX-13,DX-13.9
M85332,DX212,DX-13,DX-13.9
M85339,DX212,DX-13,DX-13.9
M85341,DX212,DX-13,DX-13.9
M85342,DX212,DX-13,DX-13.9
M85349,DX212,DX-13,DX-13.9
M85351,DX212,DX-13,DX-13.9
M85352,DX212,DX-13,DX-13.9
M85359,DX212,DX-13,DX-13.9
M85361,DX212,DX-13,DX-13.9
M85362,DX212,DX-13,DX-13.9
M85369,DX212,DX-13,DX-13.9
M85371,DX212,DX-13,DX-13.9
M85372,DX212,DX-13,DX-13.9
M85379,DX212,DX-13,DX-13.9
M8538,DX212,DX-13,DX-13.9
M8539,DX212,DX-13,DX-13.9
M8540,DX212,DX-13,DX-13.9
M85411,DX212,DX-13,DX-13.9
M85412,DX212,DX-13,DX-13.9
M85419,DX212,DX-13,DX-13.9
M85421,DX212,DX-13,DX-13.9
M85422,DX212,DX-13,DX-13.9
M85429,DX212,DX-13,DX-13.9
M85431,DX212,DX-13,DX-13.9
M85432,DX212,DX-13,DX-13.9
M85439,DX212,DX-13,DX-13.9
M85441,DX212,DX-13,DX-13.9
M85442,DX212,DX-13,DX-13.9
M85449,DX212,DX-13,DX-13.9
M85451,DX212,DX-13,DX-13.9
M85452,DX212,DX-13,DX-13.9
M85459,DX212,DX-13,DX-13.9
M85461,DX212,DX-13,DX-13.9
M85462,DX212,DX-13,DX-13.9
M85469,DX212,DX-13,DX-13.9
M85471,DX212,DX-13,DX-13.9
M85472,DX212,DX-13,DX-13.9
M85479,DX212,DX-13,DX-13.9
M8548,DX212,DX-13,DX-13.9
M8550,DX212,DX-13,DX-13.9
M85511,DX212,DX-13,DX-13.9
M85512,DX212,DX-13,DX-13.9
M85519,DX212,DX-13,DX-13.9
M85521,DX212,DX-13,DX-13.9
M85522,DX212,DX-13,DX-13.9
M85529,DX212,DX-13,DX-13.9
M85531,DX212,DX-13,DX-13.9
M85532,DX212,DX-13,DX-13.9
M85539,DX212,DX-13,DX-13.9
M85541,DX212,DX-13,DX-13.9
M85542,DX212,DX-13,DX-13.9
M85549,DX212,DX-13,DX-13.9
M85551,DX212,DX-13,DX-13.9
M85552,DX212,DX-13,DX-13.9
M85559,DX212,DX-13,DX-13.9
M85561,DX212,DX-13,DX-13.9
M85562,DX212,DX-13,DX-13.9
M85569,DX212,DX-13,DX-13.9
M85571,DX212,DX-13,DX-13.9
M85572,DX212,DX-13,DX-13.9
M85579,DX212,DX-13,DX-13.9
M8558,DX212,DX-13,DX-13.9
M8559,DX212,DX-13,DX-13.9
M8560,DX212,DX-13,DX-13.9
M85611,DX212,DX-13,DX-13.9
M85612,DX212,DX-13,DX-13.9
M85619,DX212,DX-13,DX-13.9
M85621,DX212,DX-13,DX-13.9
M85622,DX212,DX-13,DX-13.9
M85629,DX212,DX-13,DX-13.9
M85631,DX212,DX-13,DX-13.9
M85632,DX212,DX-13,DX-13.9
M85639,DX212,DX-13,DX-13.9
M85641,DX212,DX-13,DX-13.9
M85642,DX212,DX-13,DX-13.9
M85649,DX212,DX-13,DX-13.9
M85651,DX212,DX-13,DX-13.9
M85652,DX212,DX-13,DX-13.9
M85659,DX212,DX-13,DX-13.9
M85661,DX212,DX-13,DX-13.9
M85662,DX212,DX-13,DX-13.9
M85669,DX212,DX-13,DX-13.9
M85671,DX212,DX-13,DX-13.9
M85672,DX212,DX-13,DX-13.9
M85679,DX212,DX-13,DX-13.9
M8568,DX212,DX-13,DX-13.9
M8569,DX212,DX-13,DX-13.9
M8580,DX212,DX-13,DX-13.9
M85811,DX212,DX-13,DX-13.9
M85812,DX212,DX-13,DX-13.9
M85819,DX212,DX-13,DX-13.9
M85821,DX212,DX-13,DX-13.9
M85822,DX212,DX-13,DX-13.9
M85829,DX212,DX-13,DX-13.9
M85831,DX212,DX-13,DX-13.9
M85832,DX212,DX-13,DX-13.9
M85839,DX212,DX-13,DX-13.9
M85841,DX212,DX-13,DX-13.9
M85842,DX212,DX-13,DX-13.9
M85849,DX212,DX-13,DX-13.9
M85851,DX212,DX-13,DX-13.9
M85852,DX212,DX-13,DX-13.9
M85859,DX212,DX-13,DX-13.9
M85861,DX212,DX-13,DX-13.9
M85862,DX212,DX-13,DX-13.9
M85869,DX212,DX-13,DX-13.9
M85871,DX212,DX-13,DX-13.9
M85872,DX212,DX-13,DX-13.9
M85879,DX212,DX-13,DX-13.9
M8588,DX212,DX-13,DX-13.9
M8589,DX212,DX-13,DX-13.9
M859,DX212,DX-13,DX-13.9
M8700,DX212,DX-13,DX-13.9
M87011,DX212,DX-13,DX-13.9
M87012,DX212,DX-13,DX-13.9
M87019,DX212,DX-13,DX-13.9
M87021,DX212,DX-13,DX-13.9
M87022,DX212,DX-13,DX-13.9
M87029,DX212,DX-13,DX-13.9
M87031,DX212,DX-13,DX-13.9
M87032,DX212,DX-13,DX-13.9
M87033,DX212,DX-13,DX-13.9
M87034,DX212,DX-13,DX-13.9
M87035,DX212,DX-13,DX-13.9
M87036,DX212,DX-13,DX-13.9
M87037,DX212,DX-13,DX-13.9
M87038,DX212,DX-13,DX-13.9
M87039,DX212,DX-13,DX-13.9
M87041,DX212,DX-13,DX-13.9
M87042,DX212,DX-13,DX-13.9
M87043,DX212,DX-13,DX-13.9
M87044,DX212,DX-13,DX-13.9
M87045,DX212,DX-13,DX-13.9
M87046,DX212,DX-13,DX-13.9
M87050,DX212,DX-13,DX-13.9
M87051,DX212,DX-13,DX-13.9
M87052,DX212,DX-13,DX-13.9
M87059,DX212,DX-13,DX-13.9
M87061,DX212,DX-13,DX-13.9
M87062,DX212,DX-13,DX-13.9
M87063,DX212,DX-13,DX-13.9
M87064,DX212,DX-13,DX-13.9
M87065,DX212,DX-13,DX-13.9
M87066,DX212,DX-13,DX-13.9
M87071,DX212,DX-13,DX-13.9
M87072,DX212,DX-13,DX-13.9
M87073,DX212,DX-13,DX-13.9
M87074,DX212,DX-13,DX-13.9
M87075,DX212,DX-13,DX-13.9
M87076,DX212,DX-13,DX-13.9
M87077,DX212,DX-13,DX-13.9
M87078,DX212,DX-13,DX-13.9
M87079,DX212,DX-13,DX-13.9
M8708,DX212,DX-13,DX-13.9
M8709,DX212,DX-13,DX-13.9
M8710,DX212,DX-13,DX-13.9
M87111,DX212,DX-13,DX-13.9
M87112,DX212,DX-13,DX-13.9
M87119,DX212,DX-13,DX-13.9
M87121,DX212,DX-13,DX-13.9
M87122,DX212,DX-13,DX-13.9
M87129,DX212,DX-13,DX-13.9
M87131,DX212,DX-13,DX-13.9
M87132,DX212,DX-13,DX-13.9
M87133,DX212,DX-13,DX-13.9
M87134,DX212,DX-13,DX-13.9
M87135,DX212,DX-13,DX-13.9
M87136,DX212,DX-13,DX-13.9
M87137,DX212,DX-13,DX-13.9
M87138,DX212,DX-13,DX-13.9
M87139,DX212,DX-13,DX-13.9
M87141,DX212,DX-13,DX-13.9
M87142,DX212,DX-13,DX-13.9
M87143,DX212,DX-13,DX-13.9
M87144,DX212,DX-13,DX-13.9
M87145,DX212,DX-13,DX-13.9
M87146,DX212,DX-13,DX-13.9
M87150,DX212,DX-13,DX-13.9
M87151,DX212,DX-13,DX-13.9
M87152,DX212,DX-13,DX-13.9
M87159,DX212,DX-13,DX-13.9
M87161,DX212,DX-13,DX-13.9
M87162,DX212,DX-13,DX-13.9
M87163,DX212,DX-13,DX-13.9
M87164,DX212,DX-13,DX-13.9
M87165,DX212,DX-13,DX-13.9
M87166,DX212,DX-13,DX-13.9
M87171,DX212,DX-13,DX-13.9
M87172,DX212,DX-13,DX-13.9
M87173,DX212,DX-13,DX-13.9
M87174,DX212,DX-13,DX-13.9
M87175,DX212,DX-13,DX-13.9
M87176,DX212,DX-13,DX-13.9
M87177,DX212,DX-13,DX-13.9
M87178,DX212,DX-13,DX-13.9
M87179,DX212,DX-13,DX-13.9
M87180,DX212,DX-13,DX-13.9
M87188,DX212,DX-13,DX-13.9
M8719,DX212,DX-13,DX-13.9
M8720,DX212,DX-13,DX-13.9
M87211,DX212,DX-13,DX-13.9
M87212,DX212,DX-13,DX-13.9
M87219,DX212,DX-13,DX-13.9
M87221,DX212,DX-13,DX-13.9
M87222,DX212,DX-13,DX-13.9
M87229,DX212,DX-13,DX-13.9
M87231,DX212,DX-13,DX-13.9
M87232,DX212,DX-13,DX-13.9
M87233,DX212,DX-13,DX-13.9
M87234,DX212,DX-13,DX-13.9
M87235,DX212,DX-13,DX-13.9
M87236,DX212,DX-13,DX-13.9
M87237,DX212,DX-13,DX-13.9
M87238,DX212,DX-13,DX-13.9
M87239,DX212,DX-13,DX-13.9
M87241,DX212,DX-13,DX-13.9
M87242,DX212,DX-13,DX-13.9
M87243,DX212,DX-13,DX-13.9
M87244,DX212,DX-13,DX-13.9
M87245,DX212,DX-13,DX-13.9
M87246,DX212,DX-13,DX-13.9
M87250,DX212,DX-13,DX-13.9
M87251,DX212,DX-13,DX-13.9
M87252,DX212,DX-13,DX-13.9
M87256,DX212,DX-13,DX-13.9
M87261,DX212,DX-13,DX-13.9
M87262,DX212,DX-13,DX-13.9
M87263,DX212,DX-13,DX-13.9
M87264,DX212,DX-13,DX-13.9
M87265,DX212,DX-13,DX-13.9
M87266,DX212,DX-13,DX-13.9
M87271,DX212,DX-13,DX-13.9
M87272,DX212,DX-13,DX-13.9
M87273,DX212,DX-13,DX-13.9
M87274,DX212,DX-13,DX-13.9
M87275,DX212,DX-13,DX-13.9
M87276,DX212,DX-13,DX-13.9
M87277,DX212,DX-13,DX-13.9
M87278,DX212,DX-13,DX-13.9
M87279,DX212,DX-13,DX-13.9
M8728,DX212,DX-13,DX-13.9
M8729,DX212,DX-13,DX-13.9
M8730,DX212,DX-13,DX-13.9
M87311,DX212,DX-13,DX-13.9
M87312,DX212,DX-13,DX-13.9
M87319,DX212,DX-13,DX-13.9
M87321,DX212,DX-13,DX-13.9
M87322,DX212,DX-13,DX-13.9
M87329,DX212,DX-13,DX-13.9
M87331,DX212,DX-13,DX-13.9
M87332,DX212,DX-13,DX-13.9
M87333,DX212,DX-13,DX-13.9
M87334,DX212,DX-13,DX-13.9
M87335,DX212,DX-13,DX-13.9
M87336,DX212,DX-13,DX-13.9
M87337,DX212,DX-13,DX-13.9
M87338,DX212,DX-13,DX-13.9
M87339,DX212,DX-13,DX-13.9
M87341,DX212,DX-13,DX-13.9
M87342,DX212,DX-13,DX-13.9
M87343,DX212,DX-13,DX-13.9
M87344,DX212,DX-13,DX-13.9
M87345,DX212,DX-13,DX-13.9
M87346,DX212,DX-13,DX-13.9
M87350,DX212,DX-13,DX-13.9
M87351,DX212,DX-13,DX-13.9
M87352,DX212,DX-13,DX-13.9
M87353,DX212,DX-13,DX-13.9
M87361,DX212,DX-13,DX-13.9
M87362,DX212,DX-13,DX-13.9
M87363,DX212,DX-13,DX-13.9
M87364,DX212,DX-13,DX-13.9
M87365,DX212,DX-13,DX-13.9
M87366,DX212,DX-13,DX-13.9
M87371,DX212,DX-13,DX-13.9
M87372,DX212,DX-13,DX-13.9
M87373,DX212,DX-13,DX-13.9
M87374,DX212,DX-13,DX-13.9
M87375,DX212,DX-13,DX-13.9
M87376,DX212,DX-13,DX-13.9
M87377,DX212,DX-13,DX-13.9
M87378,DX212,DX-13,DX-13.9
M87379,DX212,DX-13,DX-13.9
M8738,DX212,DX-13,DX-13.9
M8739,DX212,DX-13,DX-13.9
M8780,DX212,DX-13,DX-13.9
M87811,DX212,DX-13,DX-13.9
M87812,DX212,DX-13,DX-13.9
M87819,DX212,DX-13,DX-13.9
M87821,DX212,DX-13,DX-13.9
M87822,DX212,DX-13,DX-13.9
M87829,DX212,DX-13,DX-13.9
M87831,DX212,DX-13,DX-13.9
M87832,DX212,DX-13,DX-13.9
M87833,DX212,DX-13,DX-13.9
M87834,DX212,DX-13,DX-13.9
M87835,DX212,DX-13,DX-13.9
M87836,DX212,DX-13,DX-13.9
M87837,DX212,DX-13,DX-13.9
M87838,DX212,DX-13,DX-13.9
M87839,DX212,DX-13,DX-13.9
M87841,DX212,DX-13,DX-13.9
M87842,DX212,DX-13,DX-13.9
M87843,DX212,DX-13,DX-13.9
M87844,DX212,DX-13,DX-13.9
M87845,DX212,DX-13,DX-13.9
M87849,DX212,DX-13,DX-13.9
M87850,DX212,DX-13,DX-13.9
M87851,DX212,DX-13,DX-13.9
M87852,DX212,DX-13,DX-13.9
M87859,DX212,DX-13,DX-13.9
M87861,DX212,DX-13,DX-13.9
M87862,DX212,DX-13,DX-13.9
M87863,DX212,DX-13,DX-13.9
M87864,DX212,DX-13,DX-13.9
M87865,DX212,DX-13,DX-13.9
M87869,DX212,DX-13,DX-13.9
M87871,DX212,DX-13,DX-13.9
M87872,DX212,DX-13,DX-13.9
M87873,DX212,DX-13,DX-13.9
M87874,DX212,DX-13,DX-13.9
M87875,DX212,DX-13,DX-13.9
M87876,DX212,DX-13,DX-13.9
M87877,DX212,DX-13,DX-13.9
M87878,DX212,DX-13,DX-13.9
M87879,DX212,DX-13,DX-13.9
M8788,DX212,DX-13,DX-13.9
M8789,DX212,DX-13,DX-13.9
M879,DX212,DX-13,DX-13.9
M880,DX212,DX-13,DX-13.9
M881,DX212,DX-13,DX-13.9
M88811,DX212,DX-13,DX-13.9
M88812,DX212,DX-13,DX-13.9
M88819,DX212,DX-13,DX-13.9
M88821,DX212,DX-13,DX-13.9
M88822,DX212,DX-13,DX-13.9
M88829,DX212,DX-13,DX-13.9
M88831,DX212,DX-13,DX-13.9
M88832,DX212,DX-13,DX-13.9
M88839,DX212,DX-13,DX-13.9
M88841,DX212,DX-13,DX-13.9
M88842,DX212,DX-13,DX-13.9
M88849,DX212,DX-13,DX-13.9
M88851,DX212,DX-13,DX-13.9
M88852,DX212,DX-13,DX-13.9
M88859,DX212,DX-13,DX-13.9
M88861,DX212,DX-13,DX-13.9
M88862,DX212,DX-13,DX-13.9
M88869,DX212,DX-13,DX-13.9
M88871,DX212,DX-13,DX-13.9
M88872,DX212,DX-13,DX-13.9
M88879,DX212,DX-13,DX-13.9
M8888,DX212,DX-13,DX-13.9
M8889,DX212,DX-13,DX-13.9
M889,DX212,DX-13,DX-13.9
