I9_DX,CCS,CCS_lvl1,CCS_lvl2,CCS_lvl3,CCS_lvl4
01203,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01204,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01205,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01206,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01210,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01211,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01212,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01213,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01214,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01215,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01216,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01220,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01221,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01222,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01223,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01224,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01225,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01226,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01230,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01231,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01232,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01233,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01234,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01235,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01236,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01280,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01281,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01282,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01283,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01284,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01285,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01286,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01300,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01301,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01302,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01303,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01304,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01305,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01306,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01310,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01311,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01312,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01313,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01314,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01315,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01316,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01320,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01321,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01322,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01323,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01324,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01325,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01326,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01330,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01331,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01332,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01333,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01334,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01335,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01336,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01340,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01341,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01342,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01343,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01344,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01345,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01346,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01350,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01351,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01352,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01353,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01354,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01355,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01356,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01360,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01361,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01362,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01363,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01364,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01365,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01366,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01380,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01381,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01382,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01383,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01384,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01385,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01386,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01390,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01391,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01392,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01393,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01394,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01395,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01396,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01400,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01401,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01402,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01403,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01404,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01405,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01406,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01480,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01481,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01482,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01483,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01484,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01485,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01486,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01500,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01501,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01502,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01503,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01504,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01505,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01506,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01510,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01511,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01512,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01513,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01514,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01515,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01516,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01520,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01521,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01522,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01523,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01524,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01525,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01526,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01550,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01551,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01552,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01553,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01554,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01555,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01556,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01560,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01561,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01562,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01563,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01564,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01565,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01566,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01570,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01571,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01572,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01573,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01574,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01575,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01576,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01580,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01581,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01582,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01583,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01584,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01585,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01586,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01590,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01591,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01592,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01593,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01594,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01595,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01596,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01600,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01601,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01602,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01603,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01604,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01605,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01606,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01610,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01611,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01612,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01613,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01614,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01615,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01616,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01620,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01621,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01622,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01623,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01624,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01625,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01626,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01630,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01631,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01632,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01633,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01634,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01635,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01636,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01640,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01641,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01642,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01643,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01644,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01645,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01646,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01650,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01651,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01652,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01653,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01654,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01655,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01656,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01660,DX1,DX-1,DX-1.1,DX-1.1.1,NA
01661,DX1,DX-1,DX-1.1,DX-1.1.1,NA
